MES,ID,SCORE_SISTEMA,CTDMESPASIVOULT12MES,INGRESO,CLASIFRIESGO_6,ESTADOCIVIL,TIPO,DEPARTAMENTO,NUMEROHIJOS,INCUMPLIMIENTOEN12,DELTA_BANCOS
201510,92,435.4364654,12,3355.51,0,CAS,1,38,0,0,3
201510,93,272.8980687,12,3609.43,3,SOL,1,10,0,0,3
201510,94,414.0386431,12,4249.74,0,CAS,1,12,1,0,3
201510,95,288.8666489,12,3580.39,1,SOL,1,30,3,0,3
201510,96,439.7415927,12,4075.54,0,SOL,1,38,0,1,3
201510,97,421.3854535,12,3443.71,0,SOL,1,30,0,0,3
201510,98,,12,4144.17,0,SOL,1,16,0,0,3
201510,99,395.6648587,12,3183.69,0,SOL,1,30,0,0,3
201510,100,288.5514234,12,4475.16,2,SOL,1,20,0,0,3
201510,101,262.8465441,5,4075.99,0,CAS,1,8,0,0,3
201510,102,326.343751,12,4897.51,0,SOL,1,30,0,0,3
201510,103,359.8026132,12,3000,0,CAS,1,8,2,0,3
201510,104,304.6756979,12,4022.6,0,SOL,1,2,0,1,3
201510,105,379.0998643,12,3071.76,0,SOL,1,26,1,0,3
201510,106,365.2999296,12,4237.11,0,CAS,1,30,3,0,3
201510,107,370.3553373,12,4129.47,0,SOL,1,12,0,0,3
201510,108,,12,4312.83,0,SOL,1,30,2,0,3
201510,109,,12,3018.29,0,SOL,1,24,1,0,3
201510,110,345.2203477,9,3882.43,0,SOL,1,44,0,0,3
201510,111,374.9913975,12,4747.73,0,SOL,1,36,2,0,3
201510,112,406.2532664,12,4199.26,0,SOL,1,8,0,0,3
201510,113,374.4216855,12,4000,0,SOL,1,14,0,0,3
201510,114,376.7723993,12,3147.43,0,SOL,1,42,4,0,3
201510,115,401.0609532,7,4396.89,0,SOL,1,22,-,0,3
201510,116,417.4925918,12,4702.42,0,CAS,1,30,2,0,3
201510,117,353.9115583,12,4209.43,0,SOL,1,14,-,0,3
201510,118,389.5606362,12,3893.85,0,CAS,1,24,0,1,3
201510,119,298.2639169,12,3158.72,1,SOL,1,30,0,0,3
201510,120,303.2122795,12,3917.73,0,SOL,1,8,0,0,3
201510,121,340.0698909,12,4603.83,0,CAS,1,30,2,0,3
201510,122,409.9132434,12,3416.41,0,SOL,1,30,2,0,3
201510,123,412.1978117,12,4209.53,0,SOL,1,30,0,0,3
201510,124,330.4949852,12,3874.14,0,SOL,1,30,0,0,3
201510,125,389.6824472,12,3614.4,0,CAS,1,30,2,0,3
201510,126,369.0388496,12,4233.39,0,CAS,1,24,0,0,3
201510,127,249.5237745,12,4543.27,0,CAS,1,30,3,0,3
201510,128,325.5173122,12,3017.86,0,SOL,1,30,0,0,3
201510,129,368.4391819,12,4008.5,0,CON,1,30,2,0,3
201510,130,418.3338726,12,3493.01,0,SOL,1,30,0,0,3
201510,131,275.3014226,12,4412.67,1,SOL,1,4,0,0,3
201510,132,421.447258,12,3836.66,0,SOL,1,40,5,0,3
201510,133,305.4572634,12,4145.27,0,SEP,1,30,2,0,3
201510,134,391.1876565,12,4465.29,0,SOL,1,30,0,0,3
201510,135,375.5846098,12,3638.52,0,SOL,1,40,2,0,3
201510,136,320.6742753,12,3098.64,0,CAS,1,8,2,0,3
201510,137,384.7455364,12,4210.74,0,SOL,1,30,0,0,3
201510,138,401.861129,9,4691.99,0,CAS,1,26,,0,3
201510,139,297.6420611,12,4748.75,0,SOL,1,30,-,0,3
201510,140,275.9766819,12,4432.55,0,SOL,1,30,1,0,3
201510,141,443.3671051,12,3075,0,CAS,1,14,2,0,3
201510,142,412.2112101,12,3566.25,0,CAS,1,24,1,0,3
201510,143,389.8732345,12,4848.03,0,CAS,1,30,2,0,3
201510,144,289.1074986,12,4760.61,0,CAS,1,40,1,0,3
201510,145,224.3861646,7,3406.9,2,SOL,1,10,1,1,3
201510,146,,9,3556.36,0,CAS,1,10,0,0,3
201510,147,326.0090399,12,3817.95,0,CAS,1,22,0,0,3
201510,148,362.4680597,12,4949.97,0,SOL,1,36,0,0,3
201510,149,405.67017,12,3500.01,0,SOL,1,8,0,0,3
201510,150,324.1711315,12,4000.77,0,CAS,1,22,2,0,3
201510,151,401.8975168,12,3309.15,0,SOL,1,30,2,0,3
201510,152,288.5326126,12,3447.96,0,SOL,1,36,2,0,3
201510,153,,12,3317.14,0,SOL,1,42,1,0,3
201510,154,408.5088303,12,3592.9,0,SOL,1,40,0,0,3
201510,155,,10,3139.46,0,SOL,1,16,-,0,3
201510,156,413.6536159,12,3652.64,0,SOL,1,30,0,0,3
201510,157,439.2321096,12,4044.53,0,SOL,1,26,1,0,3
201510,158,339.4914878,12,3592.36,0,SOL,1,16,-,0,3
201510,159,341.0567821,12,4836.51,0,SOL,1,22,1,0,3
201510,160,355.1469619,12,3063.34,0,CAS,1,36,2,0,3
201510,161,178.8875489,12,4358.29,1,SOL,1,30,0,0,3
201510,162,483.4523083,12,3718.02,0,SOL,1,30,0,0,3
201510,163,313.8565187,12,4217.69,0,SOL,1,40,3,0,3
201510,164,,12,3499.99,0,SOL,1,42,0,0,3
201510,165,424.7539862,12,3712.66,0,SOL,1,30,1,1,3
201510,166,370.5745537,12,4575,0,SEP,1,26,0,0,3
201510,167,426.1635344,12,3368.25,0,SOL,1,22,3,0,3
201510,168,356.347924,12,3292.52,0,SOL,1,34,0,0,3
201510,169,286.6492268,12,4958.74,0,CAS,1,26,0,0,3
201510,170,282.3971511,12,4122.51,0,SOL,1,30,0,0,3
201510,171,370.1988027,12,3810.12,0,CAS,1,28,0,0,3
201510,172,400.4434305,12,4508.57,0,CAS,1,24,1,0,3
201510,173,390.7736514,12,3375.15,0,CAS,1,30,5,0,3
201510,174,,12,3333.59,0,CAS,1,30,3,0,3
201510,175,430.0581366,12,3420.76,0,SOL,1,8,2,0,3
201510,176,244.5943679,12,4363.88,1,CAS,1,30,0,1,3
201510,177,315.8728461,12,3558.44,0,SOL,1,30,0,0,3
201510,178,377.6914496,12,4303.09,0,SOL,1,8,0,0,3
201510,179,353.0016461,12,3745.57,0,SOL,1,40,1,0,3
201510,180,391.1948862,12,3744.19,0,SOL,1,28,0,0,3
201510,181,394.5075182,12,4198.32,0,SOL,1,14,2,0,3
201510,182,377.8938684,12,3353.37,0,CAS,1,30,0,0,3
201510,183,403.7250984,12,3232.8,0,SOL,1,28,2,0,3
201510,184,339.5148248,12,3193.13,0,CAS,1,30,2,1,3
201510,185,321.0017245,12,3901.77,0,SOL,1,14,2,0,3
201510,186,282.0346026,12,4281.11,0,CAS,1,30,2,0,3
201510,187,304.8516447,12,4865.16,0,SOL,1,30,1,0,3
201510,188,412.1092509,12,3569.62,0,SOL,1,30,0,0,3
201510,189,,12,4515.26,0,CAS,1,30,3,0,3
201510,190,,11,3309.49,0,SOL,1,8,1,0,3
201510,191,353.4089576,12,3147.24,0,CAS,1,38,2,0,3
201510,192,314.1979845,12,4343.02,0,SOL,1,24,2,0,3
201510,193,380.5841005,12,3038.57,0,SOL,1,30,0,0,3
201510,194,262.6378041,12,3951.41,0,CAS,1,40,1,0,3
201510,195,245.8163901,12,3368.34,0,SOL,1,30,-,0,3
201510,196,,12,4383.34,0,CAS,1,8,2,0,3
201510,197,422.7427311,12,3931.99,0,SOL,1,30,0,0,3
201510,198,239.9271155,12,3988.7,0,SOL,1,30,1,0,3
201510,199,282.5499313,12,4033.34,0,SOL,1,36,0,0,3
201510,200,357.2539063,12,3359.35,0,SOL,1,30,-,0,3
201510,201,318.3619993,12,3467.69,0,SOL,1,42,-,0,3
201510,202,291.952307,12,4523.81,0,SOL,1,30,2,0,3
